User ID,Age,Gender,Location,Order Count,Total Spent,First Order Date,Last Order Date,Product Category
1,35.94070185830483,M,Phoenix,2,76.29187935905198,1970-01-01 00:00:01.672162091,1970-07-01 00:00:01.672162091,Homeware
2,31.9749364133784,F,New York,2,52.47845586759561,1970-01-01 00:00:01.679117362,1970-08-02 00:00:01.679117362,Apparel
3,33.21323891423779,M,Chicago,2,48.40952615331404,1970-01-01 00:00:01.654598335,1970-11-17 00:00:01.654598335,Apparel
4,29.327609094826585,M,Phoenix,2,176.00269451619388,1970-01-01 00:00:01.677083069,1970-06-22 00:00:01.677083069,Homeware
5,35.39322286932801,F,Houston,4,124.11124226851406,1970-01-01 00:00:01.663909563,1970-07-15 00:00:01.663909563,Apparel
6,35.3820706417722,M,Chicago,1,56.04589323023687,1970-01-01 00:00:01.657691716,1970-04-25 00:00:01.657691716,Apparel
7,31.929073159172894,M,Phoenix,2,89.52535061343973,1970-01-01 00:00:01.687752706,1970-12-27 00:00:01.687752706,Apparel
8,26.376869152599408,F,Phoenix,1,47.99596445999947,1970-01-01 00:00:01.695749399,1970-08-19 00:00:01.695749399,Apparel
9,32.684119321964204,M,Los Angeles,1,54.72300669144147,1970-01-01 00:00:01.696379356,1970-11-17 00:00:01.696379356,Apparel
10,30.516016234505987,F,Phoenix,5,29.32048951990156,1970-01-01 00:00:01.652644457,1970-07-29 00:00:01.652644457,Apparel
11,32.57865234612946,F,Houston,0,38.85509021302327,1970-01-01 00:00:01.668246428,1970-12-29 00:00:01.668246428,Apparel
12,24.254803783242675,M,Houston,2,52.24382070577951,1970-01-01 00:00:01.694561386,1970-08-18 00:00:01.694561386,Accessories
13,27.622284890310272,F,Phoenix,3,33.69527569334973,1970-01-01 00:00:01.694770448,1970-03-28 00:00:01.694770448,Accessories
14,45.24125628960317,F,Houston,2,95.77890812739766,1970-01-01 00:00:01.695563885,1970-12-07 00:00:01.695563885,Apparel
